player,team,role,nationality,expected_batting_pos,expected_overs_bowled,prob_all_14,prob_starting,notes
Aiden Markram,LSG,Batter,Overseas,1,1,90.0,97.0,Overseas slot 1. SA top-order bat; opens with Marsh. Part-time off-spin (0-1 overs). Aakash Chopra tips him as LSG's highest run-getter. Stable selection.
Mitchell Marsh,LSG,All-rounder,Overseas,2,2,85.0,95.0,"Overseas slot 2. Australian pace-bowling allrounder. 627 runs in IPL 2025 (avg 48.23, SR 163.70). Opens batting. Bowls 1-2 overs of medium-fast. May miss start if Aus players delayed."
Nicholas Pooran,LSG,WK-Batter,Overseas,4,0,90.0,97.0,Overseas slot 3. WI explosive power-hitter. 524 runs in 2025 (SR 196.25). Drops to No.4 with Pant at No.3. Does not bowl. Near-certain every match.
Ayush Badoni,LSG,Batter,Indian,5,1,70.0,80.0,Young Indian bat; innovative middle-order. Part-time legbreak (0-1 overs). May lose spot to Himmat Singh or be used as Impact Player. Form-dependent.
Abdul Samad,LSG,All-rounder,Indian,6,1,65.0,75.0,Power-hitting allrounder; part-time legbreak (0-1 overs). Competes with Badoni and Himmat Singh for middle-order spots. Impact Player candidate.
Shahbaz Ahmed,LSG,All-rounder,Indian,7,4,85.0,92.0,Left-arm orthodox spin allrounder. Key balance provider batting at 7 and bowling 4 overs. Stable selection; plays as primary Indian spinner.
Mohammed Shami,LSG,Bowler,Indian,9,4,65.0,75.0,India seamer. Post-injury concerns but found form in SMAT 2025 (16 wkts in 7 games). Aakash Chopra tips him as LSG highest wicket-taker. Workload management likely; may miss 3-5 games.
Avesh Khan,LSG,Bowler,Indian,8,4,80.0,88.0,Indian seamer. Consistent performer. Takes Hasaranga/Nortje spot when overseas quota full. Reliable wicket-taking option. Should play most matches.
Mayank Yadav,LSG,Bowler,Indian,11,4,45.0,65.0,Express pace (150+ kph). Major fitness concerns: out 9 months with lumbar stress fracture + toe injury. Says he is 100% fit post-surgery. Irfan Pathan critical ('6 matches in 2 years'). High upside but likely to miss 5-7 games.
Anrich Nortje,LSG,Bowler,Overseas,10,4,55.0,70.0,Overseas slot 4 (contested with Hasaranga). SA express pacer (150+ kph). 60+ IPL wickets. Preferred on flat/pace-friendly pitches. Rotates with Hasaranga.
Wanindu Hasaranga,LSG,All-rounder,Overseas,8,4,40.0,55.0,Overseas slot 4 (contested with Nortje). SL leg-spinning allrounder; 130+ T20I wickets. NOC DELAYED: hamstring tear (Feb 2026 T20 WC). Failed to attend SLC fitness test (Mar 23). Likely to miss first few matches. Preferred on spin-friendly tracks.
Mohsin Khan,LSG,Bowler,Indian,10,4,35.0,40.0,Left-arm fast. Backup pacer. Plays when Shami/Mayank unavailable. Has talent but limited opportunities with stacked pace lineup.
Digvesh Rathi,LSG,Bowler,Indian,10,4,50.0,55.0,Indian seamer; uncapped. X-factor with wicket-taking ability. Multiple experts include him in starting XI. Could start if Hasaranga unavailable and team needs 4th seamer.
Himmat Singh,LSG,Batter,Indian,6,1,30.0,40.0,Right-hand bat; part-time off-spin. Impact Player candidate per Aakash Chopra. Competes with Badoni/Samad for middle-order spot.
Arshin Kulkarni,LSG,All-rounder,Indian,7,2,20.0,25.0,Indian allrounder; bat and off-spin. Provides flexibility but behind Shahbaz Ahmed and Badoni in pecking order.
Josh Inglis,LSG,WK-Batter,Overseas,4,0,5.0,5.0,Overseas WK-bat signed for INR 8.6 cr. Expected to be UNAVAILABLE for much of IPL 2026. Behind Pooran and Pant as WK options. Unlikely to feature.
