player,team,role,nationality,expected_batting_pos,expected_overs_bowled,games_confidence,notes
Ravindra Jadeja,RR,All-rounder,Indian,6,4,High,India legend; left-arm orthodox; traded from CSK
Dasun Shanaka,RR,All-rounder,Overseas,7,3,Medium,Overseas; SL T20I captain; replaced injured Sam Curran
Ravi Bishnoi,RR,Bowler,Indian,8,4,High,India legspinner; INR 7.2 cr auction buy
Jofra Archer,RR,Bowler,Overseas,9,4,Medium,Overseas; England express pacer; fitness history is a concern
Tushar Deshpande,RR,Bowler,Indian,10,4,High,Indian seamer; consistent wicket-taker
Nandre Burger,RR,Bowler,Overseas,11,4,Medium,Overseas; SA left-arm pacer; competes with Adam Milne/Maphaka
Travis Head,SRH,Batter,Overseas,1,1,High,Overseas; Aus aggressive opener; part-time offbreak
Abhishek Sharma,SRH,All-rounder,Indian,2,2,High,Vice-captain; left-hand opener; left-arm orthodox
Ishan Kishan,SRH,WK,Indian,3,0,High,Interim captain while Cummins injured; WK-bat
Heinrich Klaasen,SRH,WK,Overseas,4,0,High,Overseas; SA power-hitting WK; middle-order destroyer
Nitish Kumar Reddy,SRH,All-rounder,Indian,5,2,High,Young Indian allrounder; seam and bat utility
Liam Livingstone,SRH,All-rounder,Overseas,6,2,High,Overseas; England power-hitter; legbreak bowling
Harshal Patel,SRH,Bowler,Indian,7,4,High,Experienced Indian seamer; death overs specialist
Pat Cummins,SRH,All-rounder,Overseas,8,4,Medium,Overseas; Australia captain; back injury concern early season
Zeeshan Ansari,SRH,Bowler,Indian,9,4,Medium,Young left-arm orthodox spinner; uncapped talent
Shivam Mavi,SRH,Bowler,Indian,10,4,Medium,Indian seamer; plays when overseas quota full (Malinga is backup overseas pacer)
Jaydev Unadkat,SRH,Bowler,Indian,11,4,Medium,Experienced Indian left-arm seamer; swing option
