rank,tier,cliff,player,team,role,nationality,expected_batting_pos,expected_overs_bowled,matches_2025,total_pts_2025,avg_pts_2025,median_pts_2025,floor_p10_2025,ceiling_p90_2025,avg_batting_pts_2025,avg_bowling_pts_2025,concept_bat_pts,concept_bowl_pts,concept_total,player_fe_2025,blended_pts_per_match,pred_season_total,expected_games,prob_starting,prob_all_14,is_returning,notes
11,2,False,KL Rahul,DC,WK-Batter,Indian,1,0,13,1081.0,83.2,64.0,19.0,200.6,74.2,0.0,72.5,0.0,80.5,65.2,71.3,898.0,12.6,95.0,90.0,True,Opens batting; keeps wicket; anchor role; experienced Indian top-order bat; retained player
12,2,False,Hardik Pandya,MI,All-rounder,Indian,5,4,15,1015.0,67.7,52.0,7.4,144.0,26.0,34.1,48.1,49.2,105.3,56.1,75.8,879.0,11.6,95.0,75.0,True,Captain. Bats 5; bowls 3-4 overs of pace. Back injury history requires careful workload management. May miss 2-3 games for rest/minor niggles. World Cup winner.
13,2,False,Heinrich Klaasen,SRH,WK-Batter,Overseas,4,0,13,1033.0,79.5,64.0,44.6,129.8,66.2,0.0,48.1,0.0,56.1,72.7,66.1,873.0,13.2,99.0,90.0,True,Overseas slot 2; SA power-hitting WK; middle-order destroyer; nailed on; only risk is late-season fatigue
14,2,False,Shubman Gill,GT,Batter,Indian,1,0,15,1346.0,89.7,78.0,14.4,173.4,78.5,0.0,72.5,0.0,80.5,52.7,63.8,861.0,13.5,99.0,95.0,True,Captain; opens batting with Sudharsan. Indian top-order mainstay. No injury concerns. Near-certain for all 14.
15,2,False,Ravindra Jadeja,RR,All-rounder,Indian,6,4,14,1016.0,72.6,78.5,15.4,127.1,35.9,27.5,41.8,38.9,88.7,49.0,64.9,857.0,13.2,99.0,90.0,True,Traded from CSK; elite left-arm orthodox (4 overs); bats 6; experience and all-round value makes him undroppable
16,2,False,Riyan Parag,RR,All-rounder (bat-leaning),Indian,3,1,14,999.0,71.4,65.5,25.9,85.8,51.1,8.6,67.9,7.3,83.2,50.2,63.4,856.0,13.5,99.0,95.0,True,Captain; bats 3; part-time offbreak (0-1 overs); guaranteed starter
17,2,False,Virat Kohli,RCB,Batter,Indian,1,0,15,1277.0,85.1,97.0,18.6,134.0,76.2,0.0,72.5,0.0,80.5,51.6,63.1,852.0,13.5,99.0,95.0,True,Opens batting; all-time IPL run-scorer; defending champions anchor; near-certain starter every game
18,2,False,Jason Holder,GT,All-rounder,Overseas,5,4,0,,,,,,,,50.3,46.1,104.4,,104.4,846.0,8.1,70.0,65.0,False,"Overseas slot contender. WI allrounder; excellent T20 WC 2026 (141 runs at SR 174, plus wickets). Competes with Phillips/Rabada for overseas slots. Starts on seam-friendly pitches."
19,2,False,Yashasvi Jaiswal,RR,Batter,Indian,1,0,14,1241.0,88.6,99.5,21.3,138.8,76.2,0.0,72.5,0.0,80.5,50.8,62.7,846.0,13.5,99.0,95.0,True,India opener; aggressive left-hand bat; nailed-on starter; only risk is national duty or minor niggle
20,2,False,Jos Buttler,GT,WK-Batter,Overseas,3,0,14,1176.0,84.0,75.5,13.5,152.7,70.0,0.0,67.9,0.0,75.9,64.1,68.8,846.0,12.3,95.0,85.0,True,"Overseas slot 1. Explosive WK-bat at No.3. Poor T20 WC 2026 form (avg 20.4, SR 135). Overseas so small rotation risk. May be rested for 1-2 games if form dips."
21,2,False,Kagiso Rabada,GT,Bowler,Overseas,9,4,0,,,,,,,,24.2,46.1,78.2,,78.2,837.0,10.7,85.0,80.0,False,Overseas slot 4 (contested). SA pace spearhead. Some experts (Mukund) pick Holder over Rabada. Near-certain on pace-friendly tracks. May miss 1-2 if Jason Holder rotated in.
22,2,False,Nicholas Pooran,LSG,WK-Batter,Overseas,4,0,14,1206.0,86.1,78.5,22.3,181.7,74.3,0.0,50.3,0.0,58.3,66.1,63.0,813.0,12.9,97.0,90.0,True,Overseas slot 3. WI explosive power-hitter. 524 runs in 2025 (SR 196.25). Drops to No.4 with Pant at No.3. Does not bowl. Near-certain every match.
23,2,False,Brydon Carse,SRH,Bowler,Overseas,9,4,0,,,,,,,,22.0,49.2,79.2,,79.2,800.0,10.1,85.0,70.0,False,Overseas slot 4 (while Cummins out); England right-arm fast; bowls 4 overs; loses spot when Cummins returns mid-season
24,2,False,Washington Sundar,GT,All-rounder,Indian,5,4,6,361.0,60.2,50.0,29.0,101.5,37.2,14.0,50.3,38.9,97.2,47.5,67.4,789.0,11.7,90.0,85.0,True,Off-spin allrounder. Crucial in middle overs. Batted at No.4 last season with limited impact; may slide to No.5/6. Bowls 4 overs of tight off-spin. Reliable selection.
25,2,False,Pathum Nissanka,DC,Batter,Overseas,2,0,0,,,,,,,,72.5,0.0,80.5,,80.5,765.0,9.5,80.0,70.0,False,Sri Lankan opener; slots in after Ben Duckett withdrew from IPL 2026; aggressive stroke-maker; may lose spot if DC sign Duckett replacement or Starc returns and overseas balance shifts
26,2,False,Noor Ahmad,CSK,Bowler,Overseas,10,4,14,996.0,71.1,52.5,26.9,145.1,0.5,65.4,18.1,47.2,73.3,52.0,60.5,762.0,12.6,95.0,90.0,True,Overseas slot 3. Afghan left-arm wrist spinner. 24 wickets in IPL 2025. CSK's spin spearhead. Near-certain starter every game.
27,2,False,Aiden Markram,LSG,Batter,Overseas,1,1,13,1096.0,84.3,80.0,22.6,152.4,61.6,11.6,72.5,7.3,87.8,39.8,59.0,761.0,12.9,97.0,90.0,True,Overseas slot 1. SA top-order bat; opens with Marsh. Part-time off-spin (0-1 overs). Aakash Chopra tips him as LSG's highest run-getter. Stable selection.
28,2,False,Axar Patel,DC,All-rounder,Indian,6,4,13,828.0,63.7,52.0,16.2,125.6,35.8,18.5,41.8,38.9,88.7,36.0,57.1,754.0,13.2,98.0,92.0,True,Captain; left-arm orthodox spin allrounder; bowls 4 overs every game; bats 5-7 depending on situation; franchise cornerstone
29,2,False,Dasun Shanaka,RR,All-rounder,Overseas,7,3,0,,,,,,,,41.8,33.8,83.6,,83.6,752.0,9.0,80.0,60.0,False,Overseas slot 2; SL T20I captain; Sam Curran's replacement; seam-bowling AR (2-3 overs); loses spot when/if Curran returns or if overseas combo changes
30,2,False,Jasprit Bumrah,MI,Bowler,Indian,11,4,12,848.0,70.7,54.5,19.3,136.1,0.0,63.0,22.0,49.2,79.2,45.0,58.7,751.0,12.8,99.0,85.0,True,India's best fast bowler. Death overs specialist. Confirmed fit for first match. World Cup winner; may get 1-2 games rest. Otherwise guaranteed starter.
31,3,False,Ajinkya Rahane,KKR,Batter,Indian,2,0,12,818.0,68.2,62.0,31.2,122.8,58.8,0.0,72.5,0.0,80.5,42.9,57.9,747.0,12.9,97.0,90.0,True,Captain; anchor role at top of order; experienced; near-certain every game unless rested
32,3,False,Glenn Phillips,GT,All-rounder,Overseas,4,2,0,,,,,,,,50.3,17.9,76.2,,76.2,747.0,9.8,80.0,75.0,False,Overseas slot 2 (contested). Avg 41 at SR 148.66 since 2025; offbreak bowling option + elite fielding. Competes with Jason Holder for 4th overseas spot. Phillips preferred on batting-friendly pitches.
33,3,False,Travis Head,SRH,Batter,Overseas,1,1,12,824.0,68.7,44.0,12.8,149.3,59.8,0.0,70.3,10.5,88.8,31.4,54.4,718.0,13.2,99.0,90.0,True,Overseas slot 1; Aus aggressive opener; part-time offbreak (0-1 overs); elite T20 form; only risk is late-season Aus commitments
34,3,False,Rishabh Pant,LSG,WK-Batter,Indian,3,0,14,601.0,42.9,23.5,6.0,95.6,34.4,0.0,67.9,0.0,75.9,37.9,53.1,717.0,13.5,99.0,95.0,True,Captain and WK. Confirmed to bat No.3 for 2026 (per PTI/team sources). Forgettable 2025 (202 runs; avg 19.5 vs spin). Make-or-break season. Near-certain all 14.
35,3,False,Shivam Dube,CSK,All-rounder,Indian,5,1,14,700.0,50.0,44.0,19.8,78.7,43.1,0.1,44.2,15.1,67.3,49.8,56.8,716.0,12.6,95.0,90.0,True,Left-hand power hitter at 5. Bowls 0-1 overs of medium pace occasionally. Reliable starter.
36,3,False,Krunal Pandya,RCB,All-rounder,Indian,8,4,15,913.0,60.9,47.0,9.4,132.8,12.1,41.7,24.2,38.9,71.0,47.0,56.6,713.0,12.6,95.0,90.0,True,Left-arm orthodox spin; crucial middle-overs control; batting utility at 7-8; near-certain starter
37,3,False,Dhruv Jurel,RR,WK-Batter,Indian,5,0,13,737.0,56.7,58.0,13.4,109.0,45.8,0.0,50.3,0.0,58.3,55.3,56.5,712.0,12.6,95.0,90.0,True,India WK; middle-order anchor; guaranteed starter when fit; minor rotation risk if India call-up
38,3,False,Matt Henry,CSK,Bowler,Overseas,11,4,0,,,,,,,,18.1,52.0,78.1,,78.1,695.0,8.9,75.0,70.0,False,Overseas slot 4 (contested with Akeal Hosein). NZ seamer; new-ball and death overs. Yet to join squad as of Mar 26. Likely starts first match but may rotate with Hosein on spin-friendly pitches.
39,3,False,Tim David,RCB,Batter,Overseas,5,0,10,479.0,47.9,44.5,5.9,94.5,35.5,0.0,50.3,0.0,58.3,58.5,58.4,695.0,11.9,92.0,85.0,True,Overseas slot 2; designated power-hitter/finisher; locked in when fit; minimal bowling
40,3,False,Nitish Kumar Reddy,SRH,All-rounder,Indian,5,2,13,473.0,36.4,37.0,7.2,61.6,21.5,5.9,48.1,24.6,80.7,37.6,54.9,692.0,12.6,95.0,90.0,True,Young Indian AR; seam bowling (1-2 overs); bats 5; crucial utility player; IPL 2024 emerging player
41,3,False,Shashank Singh,PBKS,All-rounder,Indian,6,1,14,739.0,52.8,37.5,5.3,114.5,42.7,0.2,41.8,9.2,59.0,59.2,59.1,691.0,11.7,90.0,85.0,True,Indian finisher; 350+ runs with 7 not-outs in 14 innings in IPL 2025; 61*(30) in final; part-time medium pace; bats 6-7
42,3,False,Arshdeep Singh,PBKS,Bowler,Indian,11,4,16,937.0,58.6,54.0,6.0,112.0,0.1,51.9,24.2,46.1,78.2,39.1,54.8,690.0,12.6,95.0,90.0,True,India left-arm death-overs specialist; 21 wickets for PBKS in 2025; franchise talisman; near-certain for all 14
43,3,False,Ishan Kishan,SRH,WK-Batter,Indian,3,0,14,782.0,55.9,23.0,5.3,161.6,44.7,0.0,65.7,0.0,73.7,37.1,51.7,682.0,13.2,99.0,90.0,True,Stand-in captain while Cummins out; WK; bats 3; guaranteed starter; may revert to lower role when Cummins returns
44,3,False,Prabhsimran Singh,PBKS,WK-Batter,Indian,1,0,18,1293.0,71.8,59.5,14.0,159.6,62.9,0.0,72.5,0.0,80.5,36.6,54.2,678.0,12.5,95.0,88.0,True,Aggressive opener-WK; 549 runs in IPL 2025; part of dynamic opening partnership with Priyansh Arya; franchise cornerstone
45,3,False,Jamie Overton,CSK,All-rounder,Overseas,8,4,0,,,,,,,,18.1,52.0,78.1,,78.1,672.0,8.6,70.0,75.0,False,Overseas slot 2 (contested). Pace-bowling allrounder. Competes with Akeal Hosein for spot depending on conditions. Likely picked at pace-friendly venues.
46,3,False,Romario Shepherd,RCB,All-rounder,Overseas,7,3,7,415.0,59.3,46.0,26.0,104.8,20.3,30.7,41.8,33.8,83.6,61.0,70.0,665.0,9.5,80.0,70.0,True,Overseas slot 3; WI pace-bowling all-rounder; provides batting depth and death overs; competes with Bethell for overseas spot
47,3,False,Harshal Patel,SRH,Bowler,Indian,8,4,13,692.0,53.2,46.0,7.8,134.2,1.6,47.2,22.0,49.2,79.2,37.4,54.1,665.0,12.3,95.0,85.0,True,Experienced Indian seamer; death overs specialist; bowls 4 overs; predicted highest SRH wicket-taker by Aakash Chopra
48,3,False,Shahbaz Ahmed,LSG,All-rounder,Indian,7,4,14,664.0,47.4,46.5,6.0,84.7,0.1,43.4,41.8,38.9,88.7,33.7,55.7,663.0,11.9,92.0,85.0,True,Left-arm orthodox spin allrounder. Key balance provider batting at 7 and bowling 4 overs. Stable selection; plays as primary Indian spinner.
49,3,False,Marco Jansen,PBKS,All-rounder,Overseas,8,4,14,859.0,61.4,55.5,19.7,95.8,8.5,46.6,24.2,46.1,78.2,43.5,57.4,660.0,11.5,90.0,82.0,True,Overseas; SA left-arm fast-bowling allrounder; INR 7 cr; 16 wickets in 14 matches in IPL 2025; key with new ball and death overs
50,3,False,Rinku Singh,KKR,Batter,Indian,5,0,11,498.0,45.3,39.0,27.0,72.0,32.5,0.0,50.3,0.0,58.3,46.0,50.9,657.0,12.9,97.0,90.0,True,Finisher; left-hand middle-order bat; near-certain every game; expanded role with Russell gone
51,3,False,Tilak Varma,MI,Batter,Indian,4,0,16,737.0,46.1,41.0,11.5,97.0,36.2,0.0,48.1,0.0,56.1,47.6,51.0,653.0,12.8,97.0,88.0,True,Young Indian star at No.4. Consistent middle-order bat. World Cup winner; brief rest possible. Near-certain starter.
52,3,False,Jacob Duffy,RCB,Bowler,Overseas,10,4,0,,,,,,,,24.2,46.1,78.2,,78.2,649.0,8.3,85.0,40.0,False,Overseas slot 4 (filling in for Hazlewood); NZ seamer; new-ball option in first few matches; likely replaced when Hazlewood returns mid-April
53,3,False,Vaibhav Arora,KKR,Bowler,Indian,9,4,12,716.0,59.7,50.0,32.5,97.2,0.0,54.0,24.2,46.1,78.2,38.7,54.5,649.0,11.9,92.0,85.0,True,Indian seamer; leads pace attack with Harshit Rana ruled out; reliable swing bowler
54,3,False,Vaibhav Suryavanshi,RR,Batter,Indian,2,0,7,556.0,79.4,74.0,8.0,159.8,71.7,0.0,72.5,0.0,80.5,41.4,57.0,644.0,11.3,90.0,80.0,True,14-yr-old prodigy; left-hand opener; sensational pre-season form; may be rested in dead rubbers or rotated with Shubham Dubey
55,3,False,Bhuvneshwar Kumar,RCB,Bowler,Indian,9,4,14,759.0,54.2,49.0,21.6,82.7,1.3,46.6,24.2,46.1,78.2,34.3,51.9,638.0,12.3,95.0,85.0,True,Experienced Indian seamer; swing specialist; extra responsibility with Hazlewood/Dayal absent early; may be rested in dead rubbers
56,3,False,Sanju Samson,CSK,WK-Batter,Indian,2,0,9,595.0,66.1,69.0,24.6,113.6,55.4,0.0,66.4,0.0,74.4,32.8,49.4,637.0,12.9,97.0,90.0,True,Traded from RR. Confirmed opener with Gaikwad. Primary wicketkeeper (taking over from Dhoni). 4000+ IPL runs.
57,3,False,Blessing Muzarabani,KKR,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,633.0,8.1,80.0,45.0,False,Overseas slot 4; Zimbabwe pacer; replaced Mustafizur Rahman; plays until Pathirana fit; then competes for spot
58,3,False,Harpreet Brar,PBKS,All-rounder,Indian,9,4,7,409.0,58.4,42.0,26.2,100.4,2.4,52.6,24.2,38.9,71.0,51.1,59.1,626.0,10.6,85.0,78.0,True,Left-arm orthodox spin allrounder; handy lower-order bat; bowls full quota; may rotate with Chahal on pace-friendly tracks
59,3,False,Phil Salt,RCB,WK-Batter,Overseas,2,0,13,959.0,73.8,66.0,20.0,139.6,60.8,0.0,72.5,0.0,80.5,38.6,55.4,626.0,11.3,90.0,80.0,True,Overseas slot 1; explosive keeper-opener; recent T20 WC form underwhelming (130 runs); Jacob Bethell breathing down his neck; could be rotated if form dips
60,3,False,Ruturaj Gaikwad,CSK,Batter,Indian,1,0,5,276.0,55.2,13.0,7.0,124.2,44.8,0.0,66.4,0.0,74.4,27.5,46.3,625.0,13.5,99.0,95.0,True,Captain; confirmed opener with Samson. Anchor role. Nailed-on starter. Only injury would sideline him.
61,3,False,Rajat Patidar,RCB,Batter,Indian,4,0,14,624.0,44.6,28.5,15.5,95.7,38.0,0.0,50.3,0.0,58.3,41.0,47.9,623.0,13.0,98.0,90.0,True,Captain; middle-order mainstay; led RCB to 2025 title; near-certain every game barring injury
62,3,False,Jitesh Sharma,RCB,WK,Indian,6,0,15,765.0,51.0,34.0,14.8,83.6,32.7,0.0,41.8,0.0,49.8,60.1,56.0,622.0,11.1,88.0,80.0,True,Primary wicket-keeper; aggressive middle-order bat; could lose spot if Bethell/Shepherd combo changes require Jordan Cox
63,3,False,Mohammed Siraj,GT,Bowler,Indian,10,4,15,792.0,52.8,41.0,5.0,120.4,0.2,46.9,24.2,46.1,78.2,29.7,49.1,619.0,12.6,95.0,90.0,True,India fast bowler. Led GT pace attack in 2025 (16 wkts in 15 matches). New-ball and death overs specialist. Very reliable; should play nearly all matches.
64,3,False,Kartik Tyagi,KKR,Bowler,Indian,10,4,0,,,,,,,,24.2,46.1,78.2,,78.2,618.0,7.9,75.0,50.0,False,Indian seamer; expected to debut for KKR; plays while Pathirana is injured; may lose spot when Pathirana returns
65,3,False,Mangesh Yadav,RCB,Bowler,Indian,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,618.0,7.9,75.0,50.0,False,Express left-arm pacer; uncapped; IPL debut expected vs SRH; replaces Yash Dayal; may be rotated with Rasikh Dar based on conditions
66,3,False,Tristan Stubbs,DC,Batter,Overseas,4,0,14,683.0,48.8,59.5,7.8,73.4,35.0,0.2,50.3,0.0,58.3,48.8,52.6,615.0,11.7,90.0,85.0,True,Overseas; SA explosive middle-order bat; scored 300 runs at 150.75 SR in IPL 2025; key finisher
67,3,False,Avesh Khan,LSG,Bowler,Indian,8,4,9,338.0,37.6,39.0,30.2,47.2,4.6,25.4,24.2,46.1,78.2,39.8,55.2,613.0,11.1,88.0,80.0,True,Indian seamer. Consistent performer. Takes Hasaranga/Nortje spot when overseas quota full. Reliable wicket-taking option. Should play most matches.
68,3,False,Lungi Ngidi,DC,Bowler,Overseas,10,4,0,,,,,,,,24.2,46.1,78.2,,78.2,610.0,7.8,70.0,60.0,False,Overseas; SA right-arm fast; likely plays while Starc awaits CA clearance; will rotate with Starc/Chameera once all overseas pacers available
69,3,False,Rohit Sharma,MI,Batter,Indian,1,0,15,878.0,58.5,35.0,13.8,152.0,52.5,0.0,70.3,0.0,78.3,24.5,46.0,607.0,13.2,99.0,90.0,True,MI legend; opens batting. Confirmed opener. May be given World Cup winners' rest for 1-2 games. Otherwise nailed-on.
70,4,False,Trent Boult,MI,Bowler,Overseas,10,4,16,947.0,59.2,45.5,9.0,123.0,0.1,55.2,22.0,49.2,79.2,40.2,55.8,597.0,10.7,85.0,80.0,True,Overseas slot 4. Elite left-arm new-ball bowler. Retained player. Forms lethal combination with Bumrah. Some predictions (Aakash Chopra) drop him but majority include him.
71,4,False,Nandre Burger,RR,Bowler,Overseas,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,594.0,7.6,70.0,55.0,False,Overseas slot 4; SA left-arm pacer; competes with Adam Milne and Kwena Maphaka; may rotate based on conditions and opponent
72,4,False,Ayush Badoni,LSG,Batter,Indian,5,1,13,752.0,57.8,58.0,13.6,91.6,43.5,6.1,50.3,7.9,66.2,60.0,62.5,594.0,9.5,80.0,70.0,True,Young Indian bat; innovative middle-order. Part-time legbreak (0-1 overs). May lose spot to Himmat Singh or be used as Impact Player. Form-dependent.
73,4,False,Anrich Nortje,LSG,Bowler,Overseas,10,4,0,,,,,,,,24.2,46.1,78.2,,78.2,594.0,7.6,70.0,55.0,False,Overseas slot 4 (contested with Hasaranga). SA express pacer (150+ kph). 60+ IPL wickets. Preferred on flat/pace-friendly pitches. Rotates with Hasaranga.
74,4,False,Azmatullah Omarzai,PBKS,All-rounder,Overseas,7,4,8,413.0,51.6,43.5,23.8,84.7,12.4,36.8,41.8,46.1,95.9,29.4,56.0,594.0,10.6,85.0,78.0,True,Overseas; Afghan seam-bowling allrounder; INR 2.4 cr; game-changing ability with bat and ball; bowls 3-4 overs of fast-medium
75,4,False,Marcus Stoinis,PBKS,All-rounder,Overseas,4,2,12,408.0,34.0,23.0,7.2,76.0,24.5,4.3,50.3,21.5,79.8,32.0,51.1,588.0,11.5,90.0,82.0,True,Overseas; Australian pace-bowling allrounder; INR 11 cr retention; bats 4-5; bowls 1-2 overs of medium pace; key balance player
76,4,False,Nehal Wadhera,PBKS,Batter,Indian,5,0,15,782.0,52.1,25.0,16.8,108.0,43.1,0.1,50.3,0.0,58.3,52.1,54.6,584.0,10.7,85.0,80.0,True,Power-hitting Indian middle-order bat; 369 runs in IPL 2025; bats 4 or 5; could lose spot only if overseas allrounder preferred
77,4,False,Yuzvendra Chahal,PBKS,Bowler,Indian,10,4,13,647.0,49.8,37.0,5.6,133.0,0.0,45.6,24.2,41.2,73.5,33.8,49.7,581.0,11.7,90.0,85.0,True,India's leading IPL wicket-taker; INR 18 cr; right-arm legbreak; 16 wickets in 14 matches in 2025; near-certain starter
78,4,False,Priyansh Arya,PBKS,Batter,Indian,2,0,18,1221.0,67.8,51.0,12.0,147.3,57.2,0.0,72.5,0.0,80.5,31.9,51.3,580.0,11.3,90.0,80.0,True,Left-hand aggressive opener; 475 runs at 179.24 SR in IPL 2025; explosive starts; may occasionally rotate but likely nailed-on
79,4,False,Ayush Mhatre,CSK,Batter,Indian,3,0,7,556.0,79.4,82.0,13.0,134.6,66.9,0.0,61.8,0.0,69.8,46.5,55.8,580.0,10.4,85.0,75.0,True,Confirmed to bat No.3 (not opening as in 2025). Young aggressive talent. Could be rotated or used as Impact Player in some games.
80,4,False,T Natarajan,DC,Bowler,Indian,11,4,2,49.0,24.5,24.5,4.1,44.9,0.0,23.5,24.2,46.1,78.2,,78.2,571.0,7.3,65.0,60.0,False,Left-arm yorker specialist; INR 10.75 cr retention; injury history limits availability; competes with Mukesh Kumar and Auqib Nabi for pace slots
81,4,False,Liam Livingstone,SRH,All-rounder,Overseas,6,2,9,338.0,37.6,18.0,4.4,91.2,21.6,7.8,39.6,22.2,69.8,32.4,47.4,569.0,12.0,95.0,80.0,True,Overseas slot 3; England power-hitter; legbreak bowling (1-2 overs); INR 13 cr buy; may miss games if ECB manages workload
82,4,False,Ramandeep Singh,KKR,All-rounder,Indian,6,1,11,498.0,45.3,39.0,27.0,72.0,32.5,0.0,41.8,9.2,59.0,46.0,51.2,568.0,11.1,88.0,80.0,True,Indian all-rounder; handy medium pace; reliable finisher; part-time overs
83,4,False,Shimron Hetmyer,RR,Batter,Overseas,4,0,14,571.0,40.8,33.5,12.9,81.8,27.9,0.0,50.3,0.0,58.3,45.3,50.5,556.0,11.0,90.0,75.0,True,Overseas slot 1; WI left-hand power-hitter; strong T20 WC 2026 form (SR 186); fitness/availability has been inconsistent historically
84,4,False,Auqib Nabi Dar,DC,All-rounder,Indian,9,4,0,,,,,,,,24.2,46.1,78.2,,78.2,555.0,7.1,65.0,55.0,False,J&K seam-bowling allrounder; INR 8.40 cr buy; preferred over T Natarajan in some predictions; uncapped; could lose spot when Starc arrives
85,4,False,Khaleel Ahmed,CSK,Bowler,Indian,9,4,14,664.0,47.4,46.5,6.0,84.7,0.1,43.4,18.1,52.0,78.1,33.7,51.5,551.0,10.7,85.0,80.0,True,Indian left-arm seamer. Could be used as Impact Player (bowler sub) in many games. Second Indian pace option. Swing bowler.
86,4,False,Kuldeep Yadav,DC,Bowler,Indian,8,4,14,676.0,48.3,47.5,8.0,90.8,1.9,41.3,24.2,41.2,73.5,21.7,42.4,530.0,12.5,95.0,88.0,True,India's premier wrist spinner; 15 wickets in 14 matches in IPL 2025; guaranteed starter when fit
87,4,False,Sunil Narine,KKR,All-rounder,Overseas,7,4,12,1093.0,91.1,70.5,20.3,186.0,40.2,40.8,41.8,38.9,88.7,10.8,42.0,517.0,12.3,95.0,85.0,True,Overseas slot 3; mystery off-spinner; confirmed NOT opening this season; bats 7-8; bowls full quota; veteran presence
88,4,False,Mayank Yadav,LSG,Bowler,Indian,11,4,0,,,,,,,,24.2,46.1,78.2,,78.2,516.0,6.6,65.0,45.0,False,Express pace (150+ kph). Major fitness concerns: out 9 months with lumbar stress fracture + toe injury. Says he is 100% fit post-surgery. Irfan Pathan critical ('6 matches in 2 years'). High upside but likely to miss 5-7 games.
89,4,False,M Shahrukh Khan,GT,All-rounder,Indian,6,1,11,444.0,40.4,24.0,16.0,78.0,28.8,2.8,41.8,9.2,59.0,40.9,48.1,515.0,10.7,85.0,80.0,True,Power-hitting finisher. Part-time medium pace (0-1 overs). May be used as Impact Player on some days. Strong six-hitting ability in death overs.
90,4,False,Ravi Bishnoi,RR,Bowler,Indian,8,4,12,443.0,36.9,30.0,5.7,74.1,2.1,29.5,24.2,41.2,73.5,23.9,43.7,511.0,11.7,90.0,85.0,True,India legspinner; INR 7.2 cr buy; bowls 4 overs in middle phase; may occasionally be used as Impact Player sub
